Deaths,Cases,dates,cities
,2,19.5.21,Taroudannt
,2,19.5.21,Chtouka- Ait Baha
1,10,20.5.21,Agadir-Ida -Ou-Tanane
,10,20.5.21,Inezgane- Ait Melloul
,9,20.5.21,Tiznit
,1,20.5.21,Taroudannt
,1,20.5.21,Chtouka- Ait Baha
1,25,21.5.21,Agadir-Ida -Ou-Tanane
,1,21.5.21,Inezgane- Ait Melloul
,1,21.5.21,Taroudannt
,1,21.5.21,Tiznit
,1,21.5.21,Chtouka- Ait Baha
,20,22.5.21,Agadir-Ida -Ou-Tanane
,1,22.5.21,Inezgane- Ait Melloul
,2,25.5.21,Inezgane- Ait Melloul
,1,25.5.21,Agadir-Ida -Ou-Tanane
1,0,25.5.21,Tiznit
,11,26.5.21,Inezgane- Ait Melloul
,8,26.5.21,Agadir-Ida -Ou-Tanane
,8,26.5.21,Chtouka- Ait Baha
,2,26.5.21,Taroudannt
,18,27.5.21,Agadir-Ida -Ou-Tanane
,6,27.5.21,Inezgane- Ait Melloul
,2,27.5.21,Chtouka- Ait Baha
,13,28.5.21,Agadir-Ida -Ou-Tanane
,6,28.5.21,Inezgane- Ait Melloul
,15,29.5.21,Agadir-Ida -Ou-Tanane
,7,29.5.21,Inezgane- Ait Melloul
,3,29.5.21,Taroudannt
,3,29.5.21,Tiznit
,2,29.5.21,Chtouka- Ait Baha
,6,01.6.21,Agadir-Ida -Ou-Tanane
,6,01.6.21,Inezgane- Ait Melloul
,1,01.6.21,Chtouka- Ait Baha
2,17,02.6.21,Agadir-Ida -Ou-Tanane
,13,02.6.21,Inezgane- Ait Melloul
,5,02.6.21,Taroudannt
,1,02.6.21,Chtouka- Ait Baha
,9,06.6.21,Agadir-Ida -Ou-Tanane
,3,06.6.21,Inezgane- Ait Melloul
,23,09.6.21,Agadir-Ida -Ou-Tanane
,6,09.6.21,Inezgane- Ait Melloul
,2,09.6.21,Tiznit
,1,09.6.21,Chtouka- Ait Baha
,12,10.6.21,Inezgane- Ait Melloul
,10,10.6.21,Agadir-Ida -Ou-Tanane
,1,10.6.21,Taroudannt
,1,10.6.21,Tiznit
,1,10.6.21,Chtouka- Ait Baha
,1,10.6.21,Tata
1,27,12.6.21,Agadir-Ida -Ou-Tanane
,22,12.6.21,Inezgane- Ait Melloul
,1,12.6.21,Tiznit
,1,12.6.21,Chtouka- Ait Baha
,15,13.6.21,Agadir-Ida -Ou-Tanane
,6,13.6.21,Inezgane- Ait Melloul
,3,13.6.21,Tiznit
,1,13.6.21,Taroudannt
,19,17.6.21,Inezgane- Ait Melloul
,17,17.6.21,Agadir-Ida -Ou-Tanane
